gen,best_dist,best_sol,best_obj
43,2.0,"[0.8551481579500111,-0.9332774090573333,-0.11563879500160379,-0.24246406808598064,-0.7294920250170724,-0.7785401932192244,-0.3266954075442574,0.841564173423937,0.9637883597920414,0.9191537390177535,-0.16024844744982314,-0.8911765558396127,-0.7338655700137233,-0.4610089333613969,-0.24926925465405003,0.5816104285712513]","[0.48863509963359775,0.5113649003664023]"

no. success: 1
success gens mean: 43 (0.0)
result mean: 2.0 (0.0)
all gens mean: 43 (0.0)
